"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3044","Login with valid credentials","chromium","2025-12-21","passed","2025-12-21","","login.spec.ts","",""
"","3081","Universal Title Check","chromium","2025-12-21","passed","2025-12-21","","universal-demo.spec.ts","",""
"","1596","Visual Regression - Login Page Snapshot","firefox","2025-12-21","passed","2025-12-21","","visual.spec.ts","",""
"","132","Hybrid Check - API User Validation","firefox","2025-12-21","passed","2025-12-21","","api-demo.spec.ts","",""
"","2522","simple sanity check","chromium","2025-12-21","passed","2025-12-21","","check.spec.ts","",""
"","1121","simple sanity check","firefox","2025-12-21","passed","2025-12-21","","check.spec.ts","",""
"","296","simple sanity check","webkit","2025-12-21","passed","2025-12-21","","check.spec.ts","",""
"","773","Login with valid credentials","webkit","2025-12-21","passed","2025-12-21","","login.spec.ts","",""
"","1473","Universal Title Check","firefox","2025-12-21","passed","2025-12-21","","universal-demo.spec.ts","",""
"","172","Hybrid Check - API User Validation","chromium","2025-12-21","passed","2025-12-21","","api-demo.spec.ts","",""
"","77","Hybrid Check - API User Validation","webkit","2025-12-21","passed","2025-12-21","","api-demo.spec.ts","",""
"","543","Visual Regression - Login Page Snapshot","webkit","2025-12-21","passed","2025-12-21","","visual.spec.ts","",""
"","716","Universal Title Check","webkit","2025-12-21","passed","2025-12-21","","universal-demo.spec.ts","",""
"","1355","Login with valid credentials","firefox","2025-12-21","passed","2025-12-21","","login.spec.ts","",""
"","2962","Visual Regression - Login Page Snapshot","chromium","2025-12-21","passed","2025-12-21","","visual.spec.ts","",""
